section_order,section,file_order,directory,directory,filename,description
6,"Create model B, ANN",1,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_training,model_b_ann_hyperparameter_search.py,Perform an initial search for optimal hyperparameters
6,"Create model B, ANN",1,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_usage,model_b_ann_hyperparameter_search.ipynb,Perform an initial search for optimal hyperparameters
6,"Create model B, ANN",2,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b,model_b_ann_hyperparameter_search_dig_into_best_candidates.ipynb,Perform cross-validation to dig into the most promising hyperparameters
6,"Create model B, ANN",2,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_usage,model_b_ann_hyperparameter_search_dig_into_best_candidates.py,Perform cross-validation to dig into the most promising hyperparameters
6,"Create model B, ANN",3,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a,model_b_ann_fit.ipynb,Fit model
6,"Create model B, ANN",3,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a,model_b_ann_fit.py,Fit model
6,"Create model B, ANN",4,scripts/model_b/model_b_ann/model_b_ann_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_usage,model_b_ann_hyperparameter_search_final_metrics_analysis.R,Choose which hyperparameters from the cross-validation to use for the final model
7,"Create model B, GBM",1,scripts/model_b/model_b_gbm/model_b_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,model_b_gbm_hyperparameter_search.ipynb,Perform an initial search for optimal hyperparameters
7,"Create model B, GBM",1,scripts/model_b/model_b_gbm/model_b_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,model_b_gbm_hyperparameter_search.py,Perform an initial search for optimal hyperparameters
7,"Create model B, GBM",2,scripts/model_b/model_b_gbm/model_b_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,model_b_gbm_hyperparameters_search_2_cv.ipynb,Perform cross-validation to dig into the most promising hyperparameters
7,"Create model B, GBM",3,scripts/model_b/model_b_gbm/model_b_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2,model_b_gbm_hyperparameters_search_choose_hp.R,Choose which hyperparameters from the cross-validation to use for the final model
7,"Create model B, GBM",4,scripts/model_b/model_b_gbm/model_b_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_usage,model_b_gbm_fit.ipynb,Fit model
7,"Create model B, GBM",4,scripts/model_b/model_b_gbm/model_b_gbm_training,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,model_b_gbm_fit.py,Fit model
8,Prepare tranches for models A,1,scripts/model_a,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2,model_a_create_comparable_metrics_tranches.R,Compare easily comparable metrics
8,Prepare tranches for models B,1,scripts/model_b,,model_b_feature_engineering_tranches.R,Feature engineering
8,Prepare tranches for models A,2,scripts/model_a,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_usage,model_a_feature_engineering_tranches.R,Feature engineering
9,"Predict tranches, models A",1,scripts/model_a/model_a_ann/model_a_ann_usage,,model_a_ann_predict.ipynb,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model A ANN"
9,"Predict tranches, models A",1,scripts/model_a/model_a_ann/model_a_ann_usage,,model_a_ann_predict.py,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model A ANN"
9,"Predict tranches, models A",2,scripts/model_a/model_a_gbm/model_a_gbm_usage,,model_a_gbm_predict.py,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model A GBM"
9,"Predict tranches, models A",2,scripts/model_a/model_a_gbm/model_a_gbm_usage,,model_a_gbm_predict.ipynb,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model A GBM"
10,"Predict tranches, models B",1,scripts/model_b/model_b_ann/model_b_ann_usage,,model_b_ann_predict.py,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model B ANN"
10,"Predict tranches, models B",2,scripts/model_b/model_b_gbm/model_b_gbm_usage,,model_b_gbm_predict.ipynb,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model B GBM"
10,"Predict tranches, models B",2,scripts/model_b/model_b_gbm/model_b_gbm_usage,,model_b_gbm_predict.py,"Iterate through the tranches’ X files, and return a y_fit for each row, using the model B GBM"
11,Create 2nd stage model,1,scripts/model_stage_2/model_stage_2_training,,prepare_for_model_2_hp_search.py,Perform raytune/optuna hyperparameter search
11,Create 2nd stage model,1,scripts/model_stage_2/model_stage_2_training,,prepare_for_model_2_hp_search.ipynb,Split and prepare the input data for the models
11,Create 2nd stage model,2,scripts/model_stage_2/model_stage_2_training,,get_y_fit_model_a.ipynb,"Get y-fits from model a ANN and GBM, which will be input for the stage 2 model"
11,Create 2nd stage model,3,scripts/model_stage_2/model_stage_2_training,,get_y_fit_model_b.ipynb,"Get y-fits from model b ANN and GBM, which will be input for the stage 2 model"
11,Create 2nd stage model,4,scripts/model_stage_2/model_stage_2_training,,model_2_hp_search.ipynb,Perform raytune/optuna hyperparameter search
11,Create 2nd stage model,5,scripts/model_stage_2/model_stage_2_training,,cross_validate_best_hp_candidates.py,Perform cross-validation on the best options returned by the hyperparameter search
11,Create 2nd stage model,5,scripts/model_stage_2/model_stage_2_training,,cross_validate_best_hp_candidates.ipynb,Perform cross-validation on the best options returned by the hyperparameter search
11,Create 2nd stage model,6,scripts/model_stage_2/model_stage_2_training,,model_2_analyze_cv.R,Analyze the goodness-of-fit metrics from the cross-validation
11,Create 2nd stage model,7,scripts/model_stage_2/model_stage_2_training,,fit_second_stage_model_gbm.ipynb,Fit the stage 2 model
11,Create 2nd stage model,7,scripts/model_stage_2/model_stage_2_training,,fit_second_stage_model_gbm.py,Fit the stage 2 model
11,Create 2nd stage model,8,scripts/model_stage_2,,get_correlations_and_misc_stats_from_input_models.R,"Iterate through the y-fit values from models a and b, to see how much they (dis)agree with each other"
11,Create 2nd stage model,9,scripts/model_stage_2,,analyze_correlations_and_misc_stats_from_input_models.R,Analyze the previously collected analytical data comparing the y-fits from models a and b
12,"Predict tranches, 2nd stage",1,scripts/model_stage_2/model_stage_2_usage,,get_model_stage_2_y_fit.ipynb,"Iterate through all tranches using previously-fit 2nd stage model, return tables containing predicted mappings"
12,"Predict tranches, 2nd stage",2,scripts/model_stage_2/model_stage_2_usage,,analyze_final_fit_qc.R,perform manual QC on the mappings
,12,Create 2nd stage model,1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,,prepare_for_model_2_hp_search.ipynb
,12,Create 2nd stage model,2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,,get_y_fit_model_a.ipynb
,12,Create 2nd stage model,3,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,,get_y_fit_model_b.ipynb
,12,Create 2nd stage model,4,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,,model_2_hp_search.ipynb
,12,Create 2nd stage model,5,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,,cross_validate_best_hp_candidates.ipynb
,12,Create 2nd stage model,7,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_training,,fit_second_stage_model_gbm.ipynb
,4,"Create model A, ANN",1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,,model_a_ann_hyperparameter_search.ipynb
,4,"Create model A, ANN",2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,,model_a_ann_hyperparameter_search_dig_into_best_candidates.ipynb
,4,"Create model A, ANN",4,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_training,,model_a_ann_fit.ipynb
,5,"Create model A, GBM",1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_training,,model_a_gbm_hyperparameter_search.ipynb
,5,"Create model A, GBM",2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_training,,model_a_gbm_hyperparameters_search_2_cv.ipynb
,5,"Create model A, GBM",4,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_training,,model_a_gbm_fit.ipynb
,6,"Create model B, ANN",1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,,model_b_ann_hyperparameter_search.ipynb
,6,"Create model B, ANN",2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,,model_b_ann_hyperparameter_search_dig_into_best_candidates.ipynb
,6,"Create model B, ANN",3,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_ann/model_b_ann_training,,model_b_ann_fit.ipynb
,7,"Create model B, GBM",1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_training,,model_b_gbm_hyperparameter_search.ipynb
,7,"Create model B, GBM",2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_training,,model_b_gbm_hyperparameters_search_2_cv.ipynb
,7,"Create model B, GBM",4,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_training,,model_b_gbm_fit.ipynb
,13,"Predict tranches, 2nd stage",1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_stage_2/model_stage_2_usage,,get_model_stage_2_y_fit.ipynb
,10,"Predict tranches, models A",1,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_ann/model_a_ann_usage,,model_a_ann_predict.ipynb
,10,"Predict tranches, models A",2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_a/model_a_gbm/model_a_gbm_usage,,model_a_gbm_predict.ipynb
,11,"Predict tranches, models B",2,/Users/andrewbartnof/Documents/rmi/rematch_ferc_eia_pixi/ferc_eia/scripts/model_b/model_b_gbm/model_b_gbm_usage,,model_b_gbm_predict.ipynb
